iter	Passed	Remaining
446	1133	1402
447	1137	1401
448	1139	1398
449	1142	1396
450	1145	1393
451	1146	1390
452	1148	1386
453	1151	1384
454	1154	1383
455	1157	1380
456	1158	1376
457	1160	1373
458	1163	1370
459	1166	1369
460	1169	1366
461	1171	1364
462	1173	1360
463	1174	1356
464	1176	1353
465	1178	1350
466	1182	1349
467	1185	1348
468	1187	1344
469	1188	1340
470	1190	1336
471	1193	1334
472	1196	1333
473	1199	1330
474	1200	1327
475	1202	1323
476	1203	1319
477	1207	1318
478	1212	1318
479	1215	1316
480	1217	1313
481	1218	1309
482	1220	1306
483	1222	1303
484	1226	1302
485	1229	1300
486	1230	1296
487	1232	1292
488	1233	1289
489	1241	1292
490	1243	1289
491	1246	1286
492	1247	1283
493	1249	1279
494	1252	1277
495	1254	1275
496	1259	1274
497	1260	1271
498	1262	1267
499	1265	1265
500	1269	1264
501	1272	1261
502	1274	1259
503	1276	1256
504	1278	1252
505	1279	1249
506	1285	1250
507	1287	1247
508	1290	1244
509	1291	1241
510	1293	1237
511	1296	1235
512	1300	1234
513	1304	1233
514	1306	1230
515	1309	1228
516	1317	1230
517	1319	1228
518	1323	1226
519	1326	1224
520	1333	1226
521	1336	1223
522	1337	1220
523	1339	1216
524	1342	1214
525	1347	1213
526	1350	1211
527	1351	1208
528	1353	1204
529	1356	1203
530	1361	1202
531	1364	1200
532	1366	1197
533	1368	1193
534	1371	1191
535	1374	1190
536	1377	1187
537	1379	1184
538	1381	1181
539	1382	1177
540	1385	1175
541	1389	1173
542	1393	1172
543	1395	1170
544	1398	1167
545	1399	1164
546	1401	1160
547	1403	1157
548	1404	1154
549	1406	1150
550	1407	1146
551	1409	1144
552	1411	1140
553	1412	1137
554	1414	1134
555	1419	1133
556	1424	1132
557	1426	1129
558	1428	1127
559	1431	1124
560	1434	1122
561	1436	1119
562	1438	1116
563	1439	1113
564	1441	1109
565	1442	1106
566	1444	1103
567	1447	1100
568	1449	1098
569	1451	1094
570	1452	1091
571	1454	1088
572	1455	1084
573	1457	1081
574	1459	1078
575	1461	1075
576	1463	1073
577	1466	1070
578	1468	1067
579	1469	1064
580	1471	1061
581	1473	1057
582	1477	1056
583	1479	1054
584	1481	1050
585	1482	1047
586	1484	1044
587	1485	1041
588	1487	1037
589	1489	1035
590	1491	1032
591	1493	1029
592	1494	1025
593	1495	1022
594	1497	1019
595	1498	1015
596	1500	1012
597	1501	1009
598	1503	1006
599	1505	1003
600	1507	1000
601	1509	997
602	1510	994
603	1511	991
604	1513	987
605	1514	984
606	1516	981
607	1518	978
608	1520	976
609	1521	973
610	1523	969
611	1524	966
612	1525	963
613	1526	959
614	1528	956
615	1529	953
616	1531	950
617	1532	947
618	1534	944
619	1535	941
620	1537	938
621	1538	934
622	1539	931
623	1541	928
624	1542	925
625	1543	922
626	1545	919
627	1547	916
628	1548	913
629	1550	910
630	1551	907
631	1553	904
632	1554	901
633	1555	897
634	1556	894
635	1557	891
636	1559	888
637	1560	885
638	1562	882
639	1564	880
640	1566	877
641	1567	873
642	1568	870
643	1570	867
644	1571	865
645	1573	862
646	1574	859
647	1575	856
648	1578	853
649	1579	850
650	1581	847
651	1582	844
652	1584	841
653	1585	838
654	1586	835
655	1588	832
656	1590	830
657	1592	827
658	1595	825
659	1596	822
660	1598	819
661	1599	816
662	1601	813
663	1602	810
664	1604	808
665	1606	805
666	1608	803
667	1609	800
668	1611	797
669	1613	794
670	1615	791
671	1616	789
672	1618	786
673	1621	784
674	1624	782
675	1626	779
676	1627	776
677	1629	773
678	1630	771
679	1632	768
680	1635	765
681	1637	763
682	1639	760
683	1641	758
684	1642	755
685	1643	752
686	1644	749
687	1646	746
688	1647	743
689	1651	741
690	1652	739
691	1654	736
692	1656	733
693	1658	731
694	1659	728
695	1662	726
696	1665	723
697	1666	721
698	1668	718
699	1669	715
700	1671	712
701	1672	710
702	1674	707
703	1677	705
704	1683	704
705	1691	704
706	1694	702
707	1696	699
708	1698	696
709	1701	694
710	1702	692
711	1703	689
712	1705	686
713	1707	683
714	1708	681
715	1711	678
716	1713	676
717	1714	673
718	1715	670
719	1717	667
720	1718	665
721	1720	662
722	1723	660
723	1725	657
724	1727	655
725	1728	652
726	1730	649
727	1732	647
728	1733	644
729	1734	641
730	1737	639
731	1739	636
732	1741	634
733	1742	631
734	1744	628
735	1745	626
736	1748	623
737	1750	621
738	1752	618
739	1755	616
740	1757	614
741	1759	611
742	1760	608
743	1762	606
744	1763	603
745	1773	603
746	1774	601
747	1776	598
748	1777	595
749	1778	592
750	1780	590
751	1781	587
752	1784	585
753	1786	582
754	1788	580
755	1789	577
756	1790	574
757	1791	572
758	1792	569
759	1794	566
760	1796	564
761	1799	561
762	1800	559
763	1802	556
764	1803	554
765	1805	551
766	1806	548
767	1807	546
768	1809	543
769	1812	541
770	1814	538
771	1815	536
772	1817	533
773	1819	531
774	1820	528
775	1821	525
776	1822	523
777	1828	521
778	1830	519
779	1832	516
780	1833	514
781	1835	511
782	1836	509
783	1838	506
784	1840	504
785	1842	501
786	1844	499
787	1845	496
788	1847	494
789	1848	491
790	1849	488
791	1851	486
792	1852	483
793	1854	481
794	1858	479
795	1861	477
796	1863	474
797	1864	472
798	1866	469
799	1868	467
800	1875	465
801	1876	463
802	1877	460
803	1879	458
804	1880	455
805	1881	452
806	1884	450
807	1886	448
808	1889	446
809	1892	443
810	1893	441
811	1894	438
812	1896	436
813	1898	433
814	1901	431
815	1903	429
816	1904	426
817	1906	424
818	1907	421
819	1908	419
820	1909	416
821	1911	413
822	1913	411
823	1916	409
824	1918	406
825	1919	404
826	1921	401
827	1923	399
828	1924	397
829	1926	394
830	1928	392
831	1931	389
832	1932	387
833	1934	385
834	1936	382
835	1937	380
836	1938	377
837	1939	375
838	1941	372
839	1945	370
840	1947	368
841	1949	365
842	1950	363
843	1952	360
844	1953	358
845	1954	355
846	1956	353
847	1959	351
848	1962	348
849	1963	346
850	1964	344
851	1966	341
852	1967	339
853	1968	336
854	1970	334
855	1972	331
856	1974	329
857	1977	327
858	1978	324
859	1980	322
860	1981	319
861	1983	317
862	1984	315
863	1986	312
864	1989	310
865	1991	308
866	1992	305
867	1993	303
868	1994	300
869	1996	298
870	1997	295
871	1998	293
872	1999	290
873	2001	288
874	2004	286
875	2005	283
876	2007	281
877	2008	279
878	2010	276
